,company_id,event,time,theme,account_users,metric_count,graph_origin,number_of_graphs_on_dashboard,graphs_owned,new_time,isRepeated
15,3cdc5e38a59a03a8e1b03abfb748b59a,Trial Sign Up Completed,8/1/2018 0:01,,1.0,,,,,60.0,False
17,3cdc5e38a59a03a8e1b03abfb748b59a,Guide Start,8/1/2018 0:01,,1.0,,,,,60.0,False
18,3cdc5e38a59a03a8e1b03abfb748b59a,Guide Exit,8/1/2018 0:01,,1.0,,,,,60.0,False
19,3cdc5e38a59a03a8e1b03abfb748b59a,Guide Start,8/1/2018 0:01,,1.0,,,,,60.0,True
31,3cdc5e38a59a03a8e1b03abfb748b59a,Create Data Source,8/1/2018 0:03,,1.0,,,,,180.0,False
32,3cdc5e38a59a03a8e1b03abfb748b59a,Data Source Connector,8/1/2018 0:03,,1.0,,,,,180.0,False
36,3cdc5e38a59a03a8e1b03abfb748b59a,DS Template Selected,8/1/2018 0:04,,1.0,,,,,240.0,False
46,3cdc5e38a59a03a8e1b03abfb748b59a,Data Source Created,8/1/2018 0:05,,1.0,,,,,300.0,False
50,3cdc5e38a59a03a8e1b03abfb748b59a,View Dashboard,8/1/2018 0:06,Light,1.0,,,,,360.0,False
54,3cdc5e38a59a03a8e1b03abfb748b59a,Add Blank Tab,8/1/2018 0:06,,1.0,,,,,360.0,False
64,3cdc5e38a59a03a8e1b03abfb748b59a,Build Graph from Template,8/1/2018 0:07,,1.0,,,,,420.0,False
66,3cdc5e38a59a03a8e1b03abfb748b59a,Edit Graphs,8/1/2018 0:07,,1.0,,Custom,,,420.0,False
69,3cdc5e38a59a03a8e1b03abfb748b59a,Guide Start,8/1/2018 0:08,,1.0,,,,,480.0,False
81,3cdc5e38a59a03a8e1b03abfb748b59a,Edit Graphs,8/1/2018 0:09,,1.0,,Custom,,,540.0,False
9048,3cdc5e38a59a03a8e1b03abfb748b59a,Account Active,8/1/2018 11:45,,,,,,,42300.0,False
593,3cdc5e38a59a03a8e1b03abfb748b59a,View Dashboard,8/1/2018 1:06,Light,1.0,,,,,3960.0,False
598,3cdc5e38a59a03a8e1b03abfb748b59a,Create Data Source,8/1/2018 1:06,,1.0,,,,,3960.0,True
27845,5834b9f1db446413728c1be548d8c43a,Trial Sign Up Completed,8/2/2018 10:55,,1.0,,,,,39300.0,False
27849,5834b9f1db446413728c1be548d8c43a,Guide Start,8/2/2018 10:55,,1.0,,,,,39300.0,False
27851,5834b9f1db446413728c1be548d8c43a,View Dashboard,8/2/2018 10:55,Light,1.0,,,,,39300.0,True
27908,5834b9f1db446413728c1be548d8c43a,Dashboard Template Added,8/2/2018 10:57,,1.0,,,,,39420.0,False
27909,5834b9f1db446413728c1be548d8c43a,Add Existing Tab,8/2/2018 10:57,,1.0,,,,,39420.0,False
27921,5834b9f1db446413728c1be548d8c43a,Dashboard Template Added,8/2/2018 10:58,,1.0,,,,,39480.0,False
27922,5834b9f1db446413728c1be548d8c43a,View Dashboard,8/2/2018 10:58,Light,1.0,,,,,39480.0,False
27924,5834b9f1db446413728c1be548d8c43a,Add Existing Tab,8/2/2018 10:58,,1.0,,,,,39480.0,False
29448,5834b9f1db446413728c1be548d8c43a,Account Active,8/2/2018 11:45,,,,,,,42300.0,False
25400,5834b9f1db446413728c1be548d8c43a,View Dashboard,8/2/2018 9:04,Light,1.0,,,,,32640.0,False
48079,5834b9f1db446413728c1be548d8c43a,Account Active,8/3/2018 11:45,,,,,,,42300.0,False
42012,5834b9f1db446413728c1be548d8c43a,View Dashboard,8/3/2018 5:07,Light,1.0,,,,,18420.0,False
26542,620b8cca96c92bc14d5ed5da220634bd,Trial Sign Up Completed,8/2/2018 10:00,,1.0,,,,,36000.0,False
26543,620b8cca96c92bc14d5ed5da220634bd,Guide Start,8/2/2018 10:00,,1.0,,,,,36000.0,False
26544,620b8cca96c92bc14d5ed5da220634bd,View Dashboard,8/2/2018 10:00,Light,1.0,,,,,36000.0,False
26545,620b8cca96c92bc14d5ed5da220634bd,Guide Start,8/2/2018 10:00,,1.0,,,,,36000.0,False
26546,620b8cca96c92bc14d5ed5da220634bd,Guide Exit,8/2/2018 10:00,,1.0,,,,,36000.0,False
26547,620b8cca96c92bc14d5ed5da220634bd,Guide Start,8/2/2018 10:00,,1.0,,,,,36000.0,False
26548,620b8cca96c92bc14d5ed5da220634bd,Guide Exit,8/2/2018 10:00,,1.0,,,,,36000.0,False
26549,620b8cca96c92bc14d5ed5da220634bd,Add Blank Tab,8/2/2018 10:00,,1.0,,,,,36000.0,False
26550,620b8cca96c92bc14d5ed5da220634bd,Guide Start,8/2/2018 10:00,,1.0,,,,,36000.0,False
26552,620b8cca96c92bc14d5ed5da220634bd,Guide Exit,8/2/2018 10:00,,1.0,,,,,36000.0,False
26553,620b8cca96c92bc14d5ed5da220634bd,Guide Start,8/2/2018 10:01,,1.0,,,,,36060.0,False
26554,620b8cca96c92bc14d5ed5da220634bd,Add New Button,8/2/2018 10:01,,1.0,,,,,36060.0,False
26556,620b8cca96c92bc14d5ed5da220634bd,Create New Graph,8/2/2018 10:01,,1.0,,,,,36060.0,False
