,company_id,event,time,client,template,guide_name,guide_type,number_of_graphs,number_of_graphs_on_dashboard,graph_origin,source,kpi_count,account_type,graphs_owned,data_format,dashboard_template_name,x_city,weekday
24819,6ffafc313e94655e00e3d1127ef3f24b,Trial Sign Up Completed,8/2/2018 8:25,,,,,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24820,6ffafc313e94655e00e3d1127ef3f24b,Guide Start,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24822,6ffafc313e94655e00e3d1127ef3f24b,Guide Exit,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24823,6ffafc313e94655e00e3d1127ef3f24b,Guide Start,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24824,6ffafc313e94655e00e3d1127ef3f24b,Guide Exit,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24826,6ffafc313e94655e00e3d1127ef3f24b,Add Blank Tab,8/2/2018 8:25,,,,,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24827,6ffafc313e94655e00e3d1127ef3f24b,Guide Start,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24829,6ffafc313e94655e00e3d1127ef3f24b,Guide Exit,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24830,6ffafc313e94655e00e3d1127ef3f24b,Guide Start,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24831,6ffafc313e94655e00e3d1127ef3f24b,Add New Button,8/2/2018 8:25,,,,,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
24832,6ffafc313e94655e00e3d1127ef3f24b,Guide Exit,8/2/2018 8:25,,,NavBar Intro Tour - Automatic,walkthrough,8.0,,,2.0,,Direct,,,,Fort Lauderdale,Thursday
